,Unnamed: 0,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,cumulated_cases,new_cases,growth_ratio
114,12251,2019-12-31,31,12,2019,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,0.0
113,12250,2020-01-01,1,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
112,12249,2020-01-02,2,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
111,12248,2020-01-03,3,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
110,12247,2020-01-04,4,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
109,12246,2020-01-05,5,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
108,12245,2020-01-06,6,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
107,12244,2020-01-07,7,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
106,12243,2020-01-08,8,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
105,12242,2020-01-09,9,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
104,12241,2020-01-10,10,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
103,12240,2020-01-11,11,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
102,12239,2020-01-12,12,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
101,12238,2020-01-13,13,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
100,12237,2020-01-14,14,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
99,12236,2020-01-15,15,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
98,12235,2020-01-16,16,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
97,12234,2020-01-17,17,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
96,12233,2020-01-18,18,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
95,12232,2020-01-19,19,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
94,12231,2020-01-20,20,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
93,12230,2020-01-21,21,1,2020,1,0,United_States_of_America,US,USA,327167434.0,America,1,1,inf
92,12229,2020-01-22,22,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,1,0,0.0
91,12228,2020-01-23,23,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,1,0,
90,12227,2020-01-24,24,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,1,0,
89,12226,2020-01-25,25,1,2020,1,0,United_States_of_America,US,USA,327167434.0,America,2,1,inf
88,12225,2020-01-26,26,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,2,0,0.0
87,12224,2020-01-27,27,1,2020,3,0,United_States_of_America,US,USA,327167434.0,America,5,3,inf
86,12223,2020-01-28,28,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,5,0,0.0
85,12222,2020-01-29,29,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,5,0,
84,12221,2020-01-30,30,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,5,0,
83,12220,2020-01-31,31,1,2020,1,0,United_States_of_America,US,USA,327167434.0,America,6,1,inf
82,12219,2020-02-01,1,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,7,1,1.0
81,12218,2020-02-02,2,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,8,1,1.0
